text,label
"Scientists discover a new species of frog in the Amazon rainforest.",real
"Aliens have landed in New York City and are demanding pizza.",fake
"The stock market hit an all-time high this week, boosting investor confidence.",real
"Study claims that drinking coffee can make you invincible.",fake
"A new study finds that sleep is essential for good health.",real
"Local cat wins the lottery and buys a mansion.",fake
"Government announces plans to reduce carbon emissions by 50% by 2030.",real
"Experts warn that eating ice cream can cause spontaneous combustion.",fake
"New vaccine for COVID-19 shows 95% effectiveness in clinical trials.",real
"Man claims to have found a magic stone that grants wishes.",fake
"Research shows that a balanced diet improves mental health.",real
"Unicorns have been spotted in the woods of Vermont.",fake
"Scientists are working on a cure for aging.",real
"A local bakery sells a 10-pound donut for charity.",fake
"Study reveals that exercise increases lifespan.",real
"People are becoming allergic to Wi-Fi signals.",fake
"New technology promises to end world hunger by 2035.",real
"Mermaids are real and live in the ocean depths.",fake
"New study finds that laughter boosts immunity.",real
"Ancient aliens built the pyramids, says new documentary.",fake
